Sl. No.,States/UTs,2018,2019,2020,2021,2022
1,Andhra Pradesh,24475,21992,19509,21556,21249
2,Arunachal Pradesh,277,237,134,283,227
3,Assam,8248,8350,6595,7411,7023
4,Bihar,9600,10007,8639,9553,10801
5,Chhattisgarh,13864,13899,11656,12375,13279
6,Goa,3709,3440,2375,2849,3011
7,Gujarat,18769,17046,13398,15186,15751
8,Haryana,11238,10944,9431,9933,10429
9,Himachal Pradesh,3110,2873,2239,2404,2597
10,Jharkhand,5394,5217,4405,4728,5175
11,Karnataka,41707,40658,34178,34647,39762
12,Kerala,40181,41111,27877,33296,43910
13,Madhya Pradesh,51397,50669,45266,48877,54432
14,Maharashtra,35717,32925,24971,29477,33383
15,Manipur,601,672,432,366,508
16,Meghalaya,399,482,214,245,246
17,Mizoram,53,62,53,69,133
18,Nagaland,430,358,500,746,489
19,Odisha,11262,11064,9817,10983,11663
20,Punjab,6428,6348,5203,5871,6138
21,Rajasthan,21743,23480,19114,20951,23614
22,Sikkim,180,162,138,155,211
23,Tamil Nadu,67279,62685,49844,55682,64105
24,Telangana,22230,21570,19172,21315,21619
25,Tripura,552,655,466,479,575
26,Uttarakhand,1468,1352,1041,1405,1674
27,Uttar Pradesh,42568,42572,34243,37729,41746
28,West Bengal,12705,12658,10863,11937,13686
29,Andaman and Nicobar Islands,254,230,141,115,141
30,Chandigarh,316,305,159,208,237
31,Dadra and Nagar Haveli,80,68,100,140,196
32,Daman and Diu,76,69,NA,NA,NA
33,Delhi,6515,5610,4178,4720,5652
34,Jammu and Kashmir,5978,5796,4860,5452,6092
35,Ladakh,NA,NA,NA,236,374
36,Lakshadweep,3,1,1,4,3
37,Puducherry,1597,1392,969,1049,1181